"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"107","3","Anselmians","Manchester","First Half",00:13:13,"Carry",54.24,51.31,59.54,49.18,"No GLS",0,1,"One Out",NA,"Multi-Phase",NA,5.71,"Halfway to Opposition 22"
"108","19","Anselmians","Manchester","First Half",00:13:20,"Carry",54.84,30.44,61.97,28.87,"GLS",0,1,"Other",NA,"Multi-Phase",NA,7.3,"Halfway to Opposition 22"
"109","14","Anselmians","Manchester","First Half",00:17:03,"Carry",70.3,35.72,74.24,39.87,"No GLS",0,0,"Other",NA,"Scrum",NA,5.72,"Halfway to Opposition 22"
"110","21","Anselmians","Manchester","First Half",00:17:08,"Carry",73.49,46.26,82.13,47.5,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,8.73,"Halfway to Opposition 22"
"111","2","Anselmians","Manchester","First Half",00:18:00,"Carry",94.86,65.22,99.41,64.21,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4.66,"Opposition 22"
"112","8","Anselmians","Manchester","First Half",00:20:57,"Carry",96.07,56.36,100.01,54.9,"GLS",0,0,"Pick & Go",NA,"Scrum",NA,4.2,"Opposition 22"
"113","2","Anselmians","Manchester","First Half",00:24:55,"Carry",68.64,69.04,71.06,64.89,"GLS",0,0,"Kick Return",NA,"Scrum",NA,4.8,"Halfway to Opposition 22"
"114","21","Anselmians","Manchester","First Half",00:25:03,"Carry",71.06,52.66,73.79,51.42,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,3,"Halfway to Opposition 22"
"115","13","Anselmians","Manchester","First Half",00:25:13,"Carry",63.33,21.24,66.21,19.11,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,3.58,"Halfway to Opposition 22"
"116","7","Anselmians","Manchester","First Half",00:25:24,"Carry",60.45,19.34,60.15,19.56,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0.37,"Halfway to Opposition 22"
"117","17","Anselmians","Manchester","First Half",00:26:57,"Carry",19.22,27.19,21.19,29.21,"GLS",0,0,"One Out",NA,"Lineout",NA,2.82,"Own 22"
"118","15","Anselmians","Manchester","First Half",00:27:18,"Carry",25.43,67.13,39.99,66.8,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,14.56,"Own 22 to Halfway"
"119","7","Anselmians","Manchester","First Half",00:28:31,"Carry",60,63.99,60.75,65.22,"GLS",0,0,"Other",NA,"Multi-Phase",NA,1.44,"Halfway to Opposition 22"
"120","4","Anselmians","Manchester","First Half",00:28:52,"Carry",57.87,55.35,54.99,52.66,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,3.94,"Halfway to Opposition 22"
"121","19","Anselmians","Manchester","First Half",00:30:50,"Carry",17.94,21.92,25.26,30,"No GLS",0,0,"One Out",NA,"Lineout",NA,10.9,"Own 22"
"122","14","Anselmians","Manchester","First Half",00:32:19,"Carry",76.88,13.73,80.86,10.25,"GLS",0,0,"One Out",NA,"Lineout",NA,5.29,"Halfway to Opposition 22"
